prefix	lemma	abs_freq	abs_freq0	abs_freq1	abs_freq2	freq	freq0	freq1	freq2
во?	впадать	8608	3636	2730	2242	34.903	50.36	29.345	27.545
во?	впаивать	175	8	83	84	0.71	0.111	0.892	1.032
во?	впархивать	127	43	47	37	0.515	0.596	0.505	0.455
во?	вперять	542	321	151	70	2.198	4.446	1.623	0.86
во?	вперяться	227	31	96	100	0.92	0.429	1.032	1.229
во?	впечатлевать	107	54	5	48	0.434	0.748	0.054	0.59
во?	впечатлить	179	6	7	166	0.726	0.083	0.075	2.039
во?	впечатлять	1024	7	221	796	4.152	0.097	2.376	9.78
во?	впивать	96	60	29	7	0.389	0.831	0.312	0.086
во?	впиваться	2877	953	1176	748	11.666	13.199	12.641	9.19
во?	впираться	67	5	30	32	0.272	0.069	0.322	0.393
во?	вписывать	2037	381	762	894	8.26	5.277	8.191	10.984
во?	вписываться	1851	52	278	1521	7.505	0.72	2.988	18.687
во?	впитывать	1458	114	643	701	5.912	1.579	6.912	8.613
во?	впитываться	330	28	107	195	1.338	0.388	1.15	2.396
во?	впихивать	350	24	138	188	1.419	0.332	1.483	2.31
во?	вплетать	485	100	224	161	1.967	1.385	2.408	1.978
во?	вплетаться	368	45	186	137	1.492	0.623	1.999	1.683
во?	вплывать	291	24	117	150	1.18	0.332	1.258	1.843
во?	вползать	638	128	302	208	2.587	1.773	3.246	2.556
во?	вправлять	374	75	175	124	1.516	1.039	1.881	1.523
во?	впрыгивать	196	25	93	78	0.795	0.346	1.0	0.958
во?	впрыскивать	401	165	168	68	1.626	2.285	1.806	0.835
во?	впрыскиваться	24	5	11	8	0.097	0.069	0.118	0.098
во?	впрягать	392	154	165	73	1.589	2.133	1.774	0.897
во?	впрягаться	297	40	168	89	1.204	0.554	1.806	1.093
во?	впускать	3305	1222	1214	869	13.401	16.925	13.049	10.677
во?	впутывать	241	80	91	70	0.977	1.108	0.978	0.86
во?	впутываться	181	79	60	42	0.734	1.094	0.645	0.516
во[зс]	возблагодарить	321	173	80	68	1.302	2.396	0.86	0.835
во[зс]	возбранять	235	197	19	19	0.953	2.729	0.204	0.233
во[зс]	возбраняться	306	101	83	122	1.241	1.399	0.892	1.499
во[зс]	возбуждать	13604	7641	3477	2486	55.161	105.831	37.374	30.543
во[зс]	возбуждаться	1036	436	256	344	4.201	6.039	2.752	4.226
во[зс]	возвеличивать	533	273	186	74	2.161	3.781	1.999	0.909
во[зс]	возвеличиваться	75	52	15	8	0.304	0.72	0.161	0.098
во[зс]	возвеселяться	103	69	26	8	0.418	0.956	0.279	0.098
во[зс]	возвещать	2602	1442	761	399	10.55	19.972	8.18	4.902
во[зс]	возвещаться	67	39	22	6	0.272	0.54	0.236	0.074
во[зс]	возводить	5539	1975	1541	2023	22.459	27.355	16.564	24.855
во[зс]	возводиться	642	131	215	296	2.603	1.814	2.311	3.637
во[зс]	возвратиться	1123	934	155	34	4.553	12.936	1.666	0.418
во[зс]	возвращать	9833	4382	2579	2872	39.87	60.693	27.722	35.286
во[зс]	возвращаться	45211	17546	16637	11028	183.32	243.02	178.832	135.491
во[зс]	возвышать	3179	1949	798	432	12.89	26.995	8.578	5.308
во[зс]	возвышаться	5148	2270	1840	1038	20.874	31.441	19.778	12.753
во[зс]	возглавлять	7124	21	2169	4934	28.886	0.291	23.315	60.62
во[зс]	возглашать	1146	620	394	132	4.647	8.587	4.235	1.622
во[зс]	возглашаться	26	12	8	6	0.105	0.166	0.086	0.074
во[зс]	возгораться	359	169	142	48	1.456	2.341	1.526	0.59
во[зс]	возгордиться	277	139	80	58	1.123	1.925	0.86	0.713
во[зс]	возгревать	30	6	12	12	0.122	0.083	0.129	0.147
во[зс]	воздавать	1522	788	459	275	6.171	10.914	4.934	3.379
во[зс]	воздаваться	168	42	59	67	0.681	0.582	0.634	0.823
во[зс]	воздвигать	2524	1193	823	508	10.234	16.524	8.846	6.241
во[зс]	воздвигаться	412	188	141	83	1.671	2.604	1.516	1.02
во[зс]	воздевать	659	170	252	237	2.672	2.355	2.709	2.912
во[зс]	воздействовать	1893	176	803	914	7.676	2.438	8.631	11.23
во[зс]	возделывать	656	248	253	155	2.66	3.435	2.72	1.904
во[зс]	возделываться	82	34	32	16	0.332	0.471	0.344	0.197
во[зс]	воздерживать	208	181	17	10	0.843	2.507	0.183	0.123
во[зс]	воздерживаться	2570	935	908	727	10.421	12.95	9.76	8.932
во[зс]	воздыматься	67	52	10	5	0.272	0.72	0.107	0.061
во[зс]	воздыхать	236	177	49	10	0.957	2.452	0.527	0.123
во[зс]	возжаждать	142	15	99	28	0.576	0.208	1.064	0.344
во[зс]	возжелать	235	86	45	104	0.953	1.191	0.484	1.278
во[зс]	возжечь	55	36	14	5	0.223	0.499	0.15	0.061
во[зс]	возжигать	207	124	55	28	0.839	1.717	0.591	0.344
во[зс]	возжигаться	35	21	8	6	0.142	0.291	0.086	0.074
во[зс]	воззриться	416	122	180	114	1.687	1.69	1.935	1.401
во[зс]	возлагать	6186	2398	1990	1798	25.083	33.213	21.391	22.09
во[зс]	возлагаться	1064	250	357	457	4.314	3.463	3.837	5.615
во[зс]	возлегать	110	56	32	22	0.446	0.776	0.344	0.27
во[зс]	возлежать	357	68	151	138	1.448	0.942	1.623	1.695
во[зс]	возликовать	248	47	114	87	1.006	0.651	1.225	1.069
во[зс]	возлюбить	1525	696	531	298	6.184	9.64	5.708	3.661
во[зс]	возмечтать	189	116	37	36	0.766	1.607	0.398	0.442
во[зс]	возмещать	987	91	300	596	4.002	1.26	3.225	7.323
во[зс]	возмещаться	199	19	40	140	0.807	0.263	0.43	1.72
во[зс]	возмочь	522	496	16	10	2.117	6.87	0.172	0.123
во[зс]	возмужать	453	197	184	72	1.837	2.729	1.978	0.885
во[зс]	возмущать	4309	1948	1503	858	17.472	26.981	16.156	10.541
во[зс]	возмущаться	6691	1366	2686	2639	27.13	18.92	28.872	32.423
во[зс]	вознаграждать	1600	945	426	229	6.488	13.089	4.579	2.814
во[зс]	вознаграждаться	216	123	45	48	0.876	1.704	0.484	0.59
во[зс]	вознамериваться	850	449	125	276	3.447	6.219	1.344	3.391
во[зс]	вознегодовать	211	125	62	24	0.856	1.731	0.666	0.295
во[зс]	возненавидеть	1550	698	526	326	6.285	9.668	5.654	4.005
во[зс]	возникать	46905	5493	17441	23971	190.188	76.081	187.474	294.51
во[зс]	возносить	1893	674	679	540	7.676	9.335	7.299	6.634
во[зс]	возноситься	1504	565	556	383	6.098	7.826	5.976	4.706
во[зс]	возобладать	323	60	94	169	1.31	0.831	1.01	2.076
во[зс]	возомнить	360	39	139	182	1.46	0.54	1.494	2.236
во[зс]	возопить	683	422	122	139	2.769	5.845	1.311	1.708
во[зс]	возрадоваться	405	184	141	80	1.642	2.548	1.516	0.983
во[зс]	возражать	20756	8468	7420	4868	84.16	117.286	79.758	59.809
во[зс]	возрастать	9629	2187	2896	4546	39.043	30.291	31.129	55.853
во[зс]	возрастить	110	85	20	5	0.446	1.177	0.215	0.061
во[зс]	возревновать	37	17	10	10	0.15	0.235	0.107	0.123
во[зс]	возрождать	1669	287	510	872	6.767	3.975	5.482	10.713
во[зс]	возрождаться	1582	380	527	675	6.415	5.263	5.665	8.293
во[зс]	возроптать	131	77	25	29	0.531	1.066	0.269	0.356
во[зс]	возрыдать	47	28	12	7	0.191	0.388	0.129	0.086
во[зс]	возыметь	797	426	200	171	3.232	5.9	2.15	2.101
во[зс]	восклицать	24184	12219	7998	3967	98.06	169.239	85.971	48.739
во[зс]	воскресать	3295	1309	1386	600	13.36	18.13	14.898	7.372
во[зс]	воскрешать	1890	656	785	449	7.663	9.086	8.438	5.516
во[зс]	воскрешаться	29	7	15	7	0.118	0.097	0.161	0.086
во[зс]	воскурять	52	22	19	11	0.211	0.305	0.204	0.135
во[зс]	воспалять	804	284	365	155	3.26	3.934	3.923	1.904
во[зс]	воспаляться	154	53	43	58	0.624	0.734	0.462	0.713
во[зс]	воспарять	246	51	77	118	0.997	0.706	0.828	1.45
во[зс]	воспевать	2264	835	856	573	9.18	11.565	9.201	7.04
во[зс]	воспеваться	115	40	50	25	0.466	0.554	0.537	0.307
во[зс]	воспитовать	22	7	7	8	0.089	0.097	0.075	0.098
во[зс]	воспитывать	10324	3162	4214	2948	41.861	43.795	45.296	36.219
во[зс]	воспитываться	2207	1147	679	381	8.949	15.886	7.299	4.681
во[зс]	восплакать	35	21	9	5	0.142	0.291	0.097	0.061
во[зс]	воспламенять	526	308	152	66	2.133	4.266	1.634	0.811
во[зс]	воспламеняться	514	226	211	77	2.084	3.13	2.268	0.946
